Fila	Nodo	Estación	Hora	Ruta
394	451	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	10:50 AM	C
395	452	Vi-at-Palo-Alto	10:52 AM	C
396	453	Vi-at-Palo-Alto	10:32 AM	C
397	454	Stanford-West-Apartments-(Clark-Way)	10:34 AM	C
398	455	Across-Street-From-Lucas-Center-(Welch-Rd) 	10:38 AM	C
399	456	Stock-Farm-Garage	10:44 AM	C
400	457	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	10:47 AM	C
401	458	Main-Quad-(Memorial-Church) 	10:50 AM	C
402	459	Schwab-Residential-Center-(Serra-St)	10:53 AM	C
403	460	Olmsted-Rd-@-Hulme-Crt	10:55 AM	C
404	461	Olmsted-Rd-@-Wellesley-St	10:58 AM	C
405	462	Bowdoin-St-@-Pine-Hill-Rd	11:01 AM	C
406	463	Graduate-School-of-Business-(Serra-St)	11:04 AM	C
407	464	Main-Quad-(Campus-Oval-Side) 	11:07 AM	C
408	465	Li-Ka-Shing-Center-(Campus-Dr) 	11:10 AM	C
409	466	Stock-Farm-Garage	11:14 AM	C
410	467	Lucas-Center-(Welch-Rd) 	11:16 AM	C
411	468	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	11:20 AM	C
412	469	Vi-at-Palo-Alto	11:22 AM	C
413	470	Vi-at-Palo-Alto	11:02 AM	C
414	471	Stanford-West-Apartments-(Clark-Way)	11:04 AM	C
415	472	Across-Street-From-Lucas-Center-(Welch-Rd) 	11:08 AM	C
416	473	Stock-Farm-Garage	11:14 AM	C
417	474	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	11:17 AM	C
418	475	Main-Quad-(Memorial-Church) 	11:20 AM	C
419	476	Schwab-Residential-Center-(Serra-St)	11:23 AM	C
420	477	Olmsted-Rd-@-Hulme-Crt	11:25 AM	C
421	478	Olmsted-Rd-@-Wellesley-St	11:28 AM	C
422	479	Bowdoin-St-@-Pine-Hill-Rd	11:31 AM	C
423	480	Graduate-School-of-Business-(Serra-St)	11:34 AM	C
424	481	Main-Quad-(Campus-Oval-Side) 	11:37 AM	C
425	482	Li-Ka-Shing-Center-(Campus-Dr) 	11:40 AM	C
426	483	Stock-Farm-Garage	11:44 AM	C
427	484	Lucas-Center-(Welch-Rd) 	11:46 AM	C
428	485	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	11:50 AM	C
429	486	Vi-at-Palo-Alto	11:52 AM	C
430	487	Vi-at-Palo-Alto	11:32 AM	C
431	488	Stanford-West-Apartments-(Clark-Way)	11:34 AM	C
432	489	Across-Street-From-Lucas-Center-(Welch-Rd) 	11:38 AM	C
433	490	Stock-Farm-Garage	11:44 AM	C
434	491	Campus-Dr-(Across-Street-from-Li-Ka-Shing-Center)	11:47 AM	C
435	492	Main-Quad-(Memorial-Church) 	11:50 AM	C
436	493	Schwab-Residential-Center-(Serra-St)	11:53 AM	C
437	494	Olmsted-Rd-@-Hulme-Crt	11:55 AM	C
438	495	Olmsted-Rd-@-Wellesley-St	11:58 AM	C
439	496	Bowdoin-St-@-Pine-Hill-Rd	12:01 PM	C
440	497	Graduate-School-of-Business-(Serra-St)	12:04 PM	C
441	498	Main-Quad-(Campus-Oval-Side) 	12:07 PM	C
442	499	Li-Ka-Shing-Center-(Campus-Dr) 	12:10 PM	C
443	500	Stock-Farm-Garage	12:14 PM	C
444	501	Lucas-Center-(Welch-Rd) 	12:16 PM	C
445	502	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office) 	12:20 PM	C
446	503	Vi-at-Palo-Alto	12:22 PM	C
447	504	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	5:07 AM	Medical-Center
448	505	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	5:10 AM	Medical-Center
449	506	Stanford-Barn-(700-Welch-Rd) 	5:13 AM	Medical-Center
450	507	780-Welch-Rd	5:14 AM	Medical-Center
451	508	1000-Welch-Rd	5:15 AM	Medical-Center
452	509	Across-Street-From-Lucas-Center-(Welch-Rd) 	5:17 AM	Medical-Center
453	514	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	5:32 AM	Medical-Center
454	515	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	5:22 AM	Medical-Center
455	516	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	5:25 AM	Medical-Center
456	517	Stanford-Barn-(700-Welch-Rd) 	5:28 AM	Medical-Center
457	518	780-Welch-Rd	5:29 AM	Medical-Center
458	519	1000-Welch-Rd	5:30 AM	Medical-Center
459	520	Across-Street-From-Lucas-Center-(Welch-Rd) 	5:32 AM	Medical-Center
460	525	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	5:47 AM	Medical-Center
461	526	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	5:42 AM	Medical-Center
462	527	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	5:45 AM	Medical-Center
463	528	Stanford-Barn-(700-Welch-Rd) 	5:48 AM	Medical-Center
464	529	780-Welch-Rd	5:49 AM	Medical-Center
465	530	1000-Welch-Rd	5:50 AM	Medical-Center
466	531	Across-Street-From-Lucas-Center-(Welch-Rd) 	5:52 AM	Medical-Center
467	536	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	6:07 AM	Medical-Center
468	537	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	5:58 AM	Medical-Center
469	538	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	6:01 AM	Medical-Center
470	539	Stanford-Barn-(700-Welch-Rd) 	6:04 AM	Medical-Center
471	540	780-Welch-Rd	6:05 AM	Medical-Center
472	541	1000-Welch-Rd	6:06 AM	Medical-Center
473	542	Across-Street-From-Lucas-Center-(Welch-Rd) 	6:08 AM	Medical-Center
474	547	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	6:23 AM	Medical-Center
475	548	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	6:13 AM	Medical-Center
476	549	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	6:16 AM	Medical-Center
477	550	Stanford-Barn-(700-Welch-Rd) 	6:19 AM	Medical-Center
478	551	780-Welch-Rd	6:20 AM	Medical-Center
479	552	1000-Welch-Rd	6:21 AM	Medical-Center
480	553	Across-Street-From-Lucas-Center-(Welch-Rd) 	6:23 AM	Medical-Center
481	558	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	6:38 AM	Medical-Center
482	559	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	6:31 AM	Medical-Center
483	560	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	6:34 AM	Medical-Center
484	561	Stanford-Barn-(700-Welch-Rd) 	6:37 AM	Medical-Center
485	562	780-Welch-Rd	6:38 AM	Medical-Center
486	563	1000-Welch-Rd	6:39 AM	Medical-Center
487	564	Across-Street-From-Lucas-Center-(Welch-Rd) 	6:41 AM	Medical-Center
488	569	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	6:56 AM	Medical-Center
489	570	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	6:44 AM	Medical-Center
490	571	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	6:47 AM	Medical-Center
491	572	Stanford-Barn-(700-Welch-Rd) 	6:50 AM	Medical-Center
492	573	780-Welch-Rd	6:51 AM	Medical-Center
493	574	1000-Welch-Rd	6:52 AM	Medical-Center
494	575	Across-Street-From-Lucas-Center-(Welch-Rd) 	6:54 AM	Medical-Center
495	580	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	7:09 AM	Medical-Center
496	581	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	6:58 AM	Medical-Center
497	582	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	7:01 AM	Medical-Center
498	583	Stanford-Barn-(700-Welch-Rd) 	7:04 AM	Medical-Center
499	584	780-Welch-Rd	7:05 AM	Medical-Center
500	585	1000-Welch-Rd	7:06 AM	Medical-Center
501	586	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:08 AM	Medical-Center
502	591	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	7:23 AM	Medical-Center
503	592	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	7:13 AM	Medical-Center
504	593	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	7:16 AM	Medical-Center
505	594	Stanford-Barn-(700-Welch-Rd) 	7:19 AM	Medical-Center
506	595	780-Welch-Rd	7:20 AM	Medical-Center
507	596	1000-Welch-Rd	7:21 AM	Medical-Center
508	597	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:23 AM	Medical-Center
509	602	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	7:38 AM	Medical-Center
510	603	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	7:27 AM	Medical-Center
511	604	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	7:30 AM	Medical-Center
512	605	Stanford-Barn-(700-Welch-Rd) 	7:33 AM	Medical-Center
513	606	780-Welch-Rd	7:34 AM	Medical-Center
514	607	1000-Welch-Rd	7:35 AM	Medical-Center
515	608	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:37 AM	Medical-Center
516	613	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	7:52 AM	Medical-Center
517	614	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	7:38 AM	Medical-Center
518	615	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	7:41 AM	Medical-Center
519	616	Stanford-Barn-(700-Welch-Rd) 	7:44 AM	Medical-Center
520	617	780-Welch-Rd	7:45 AM	Medical-Center
521	618	1000-Welch-Rd	7:46 AM	Medical-Center
522	619	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:48 AM	Medical-Center
523	624	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	8:03 AM	Medical-Center
524	625	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	7:46 AM	Medical-Center
525	626	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	7:49 AM	Medical-Center
526	627	Stanford-Barn-(700-Welch-Rd) 	7:52 AM	Medical-Center
527	628	780-Welch-Rd	7:53 AM	Medical-Center
528	629	1000-Welch-Rd	7:54 AM	Medical-Center
529	630	Across-Street-From-Lucas-Center-(Welch-Rd) 	7:56 AM	Medical-Center
530	635	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	8:11 AM	Medical-Center
531	636	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	7:59 AM	Medical-Center
532	637	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	8:02 AM	Medical-Center
533	638	Stanford-Barn-(700-Welch-Rd) 	8:05 AM	Medical-Center
534	639	780-Welch-Rd	8:06 AM	Medical-Center
535	640	1000-Welch-Rd	8:07 AM	Medical-Center
536	641	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:09 AM	Medical-Center
537	646	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	8:24 AM	Medical-Center
538	647	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	8:14 AM	Medical-Center
539	648	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	8:17 AM	Medical-Center
540	649	Stanford-Barn-(700-Welch-Rd) 	8:20 AM	Medical-Center
541	650	780-Welch-Rd	8:21 AM	Medical-Center
542	651	1000-Welch-Rd	8:22 AM	Medical-Center
543	652	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:24 AM	Medical-Center
544	657	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	8:39 AM	Medical-Center
545	658	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	8:27 AM	Medical-Center
546	659	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	8:30 AM	Medical-Center
547	660	Stanford-Barn-(700-Welch-Rd) 	8:33 AM	Medical-Center
548	661	780-Welch-Rd	8:34 AM	Medical-Center
549	662	1000-Welch-Rd	8:35 AM	Medical-Center
550	663	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:37 AM	Medical-Center
551	668	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	8:52 AM	Medical-Center
552	669	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	8:37 AM	Medical-Center
553	670	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	8:40 AM	Medical-Center
554	671	Stanford-Barn-(700-Welch-Rd) 	8:43 AM	Medical-Center
555	672	780-Welch-Rd	8:44 AM	Medical-Center
556	673	1000-Welch-Rd	8:45 AM	Medical-Center
557	674	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:47 AM	Medical-Center
558	679	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	9:02 AM	Medical-Center
559	680	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	8:47 AM	Medical-Center
560	681	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	8:50 AM	Medical-Center
561	682	Stanford-Barn-(700-Welch-Rd) 	8:53 AM	Medical-Center
562	683	780-Welch-Rd	8:54 AM	Medical-Center
563	684	1000-Welch-Rd	8:55 AM	Medical-Center
564	685	Across-Street-From-Lucas-Center-(Welch-Rd) 	8:57 AM	Medical-Center
565	690	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	9:12 AM	Medical-Center
566	691	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	8:59 AM	Medical-Center
567	692	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	9:02 AM	Medical-Center
568	693	Stanford-Barn-(700-Welch-Rd) 	9:05 AM	Medical-Center
569	694	780-Welch-Rd	9:06 AM	Medical-Center
570	695	1000-Welch-Rd	9:07 AM	Medical-Center
571	696	Across-Street-From-Lucas-Center-(Welch-Rd) 	9:09 AM	Medical-Center
572	701	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	9:24 AM	Medical-Center
573	702	Palo-Alto-Transit-Center-(Caltrain-Platform-South) 	9:14 AM	Medical-Center
574	703	Stanford-Shopping-Center-(Quarry-Rd-Near-Pear-Ln)	9:17 AM	Medical-Center
575	704	Stanford-Barn-(700-Welch-Rd) 	9:20 AM	Medical-Center
576	705	780-Welch-Rd	9:21 AM	Medical-Center
577	706	1000-Welch-Rd	9:22 AM	Medical-Center
578	707	Across-Street-From-Lucas-Center-(Welch-Rd) 	9:24 AM	Medical-Center
579	712	Palo-Alto-Transit-Center-(Caltrain-Platform-South)	9:39 AM	Medical-Center
580	713	Palo-Alto-Transit-Center-(Bus-Depot)	6:31 AM	Research-Park
581	714	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	6:37 AM	Research-Park
582	715	Page-Mill-Rd-@-El-Camino-Real	6:40 AM	Research-Park
583	716	Page-Mill-Rd-@-Hanover-St	6:42 AM	Research-Park
584	717	3170-Porter-Dr	6:45 AM	Research-Park
585	718	Hillview-Ave-@-Coyote-Hill-Rd	6:49 AM	Research-Park
586	719	1050/1070-Arastradero-Rd	6:51 AM	Research-Park
587	720	3475-Deer-Creek-Rd	6:58 AM	Research-Park
588	721	Palo-Alto-Transit-Center-(Bus-Depot)	7:13 AM	Research-Park
589	722	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	7:19 AM	Research-Park
590	723	Page-Mill-Rd-@-El-Camino-Real	7:22 AM	Research-Park
591	724	Page-Mill-Rd-@-Hanover-St	7:24 AM	Research-Park
592	725	3170-Porter-Dr	7:27 AM	Research-Park
593	726	Hillview-Ave-@-Coyote-Hill-Rd	7:31 AM	Research-Park
594	727	1050/1070-Arastradero-Rd	7:33 AM	Research-Park
595	728	3475-Deer-Creek-Rd	7:40 AM	Research-Park
596	729	Palo-Alto-Transit-Center-(Bus-Depot)	7:31 AM	Research-Park
597	730	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	7:37 AM	Research-Park
598	731	Page-Mill-Rd-@-El-Camino-Real	7:40 AM	Research-Park
599	732	Page-Mill-Rd-@-Hanover-St	7:42 AM	Research-Park
600	733	3170-Porter-Dr	7:45 AM	Research-Park
601	734	Hillview-Ave-@-Coyote-Hill-Rd	7:49 AM	Research-Park
602	735	1050/1070-Arastradero-Rd	7:51 AM	Research-Park
603	736	3475-Deer-Creek-Rd	7:58 AM	Research-Park
604	737	Palo-Alto-Transit-Center-(Bus-Depot)	7:46 AM	Research-Park
605	738	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	7:52 AM	Research-Park
606	739	Page-Mill-Rd-@-El-Camino-Real	7:55 AM	Research-Park
607	740	Page-Mill-Rd-@-Hanover-St	7:57 AM	Research-Park
608	741	3170-Porter-Dr	8:00 AM	Research-Park
609	742	Hillview-Ave-@-Coyote-Hill-Rd	8:04 AM	Research-Park
610	743	1050/1070-Arastradero-Rd	8:06 AM	Research-Park
611	744	3475-Deer-Creek-Rd	8:13 AM	Research-Park
612	745	Palo-Alto-Transit-Center-(Bus-Depot)	7:59 AM	Research-Park
613	746	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	8:05 AM	Research-Park
614	747	Page-Mill-Rd-@-El-Camino-Real	8:08 AM	Research-Park
615	748	Page-Mill-Rd-@-Hanover-St	8:10 AM	Research-Park
616	749	3170-Porter-Dr	8:13 AM	Research-Park
617	750	Hillview-Ave-@-Coyote-Hill-Rd	8:17 AM	Research-Park
618	751	1050/1070-Arastradero-Rd	8:19 AM	Research-Park
619	752	3475-Deer-Creek-Rd	8:26 AM	Research-Park
620	753	Palo-Alto-Transit-Center-(Bus-Depot)	8:14 AM	Research-Park
621	754	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	8:20 AM	Research-Park
622	755	Page-Mill-Rd-@-El-Camino-Real	8:23 AM	Research-Park
623	756	Page-Mill-Rd-@-Hanover-St	8:25 AM	Research-Park
624	757	3170-Porter-Dr	8:28 AM	Research-Park
625	758	Hillview-Ave-@-Coyote-Hill-Rd	8:32 AM	Research-Park
626	759	1050/1070-Arastradero-Rd	8:34 AM	Research-Park
627	760	3475-Deer-Creek-Rd	8:41 AM	Research-Park
628	761	Palo-Alto-Transit-Center-(Bus-Depot)	8:32 AM	Research-Park
629	762	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	8:38 AM	Research-Park
630	763	Page-Mill-Rd-@-El-Camino-Real	8:41 AM	Research-Park
631	764	Page-Mill-Rd-@-Hanover-St	8:43 AM	Research-Park
632	765	3170-Porter-Dr	8:46 AM	Research-Park
633	766	Hillview-Ave-@-Coyote-Hill-Rd	8:50 AM	Research-Park
634	767	1050/1070-Arastradero-Rd	8:52 AM	Research-Park
635	768	3475-Deer-Creek-Rd	8:59 AM	Research-Park
636	769	Palo-Alto-Transit-Center-(Bus-Depot)	8:47 AM	Research-Park
637	770	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	8:53 AM	Research-Park
638	771	Page-Mill-Rd-@-El-Camino-Real	8:56 AM	Research-Park
639	772	Page-Mill-Rd-@-Hanover-St	8:58 AM	Research-Park
640	773	3170-Porter-Dr	9:01 AM	Research-Park
641	774	Hillview-Ave-@-Coyote-Hill-Rd	9:05 AM	Research-Park
642	775	1050/1070-Arastradero-Rd	9:07 AM	Research-Park
643	776	3475-Deer-Creek-Rd	9:14 AM	Research-Park
644	777	Palo-Alto-Transit-Center-(Bus-Depot)	8:59 AM	Research-Park
645	778	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	9:05 AM	Research-Park
646	779	Page-Mill-Rd-@-El-Camino-Real	9:08 AM	Research-Park
647	780	Page-Mill-Rd-@-Hanover-St	9:10 AM	Research-Park
648	781	3170-Porter-Dr	9:13 AM	Research-Park
649	782	Hillview-Ave-@-Coyote-Hill-Rd	9:17 AM	Research-Park
650	783	1050/1070-Arastradero-Rd	9:19 AM	Research-Park
651	784	3475-Deer-Creek-Rd	9:26 AM	Research-Park
652	785	Palo-Alto-Transit-Center-(Bus-Depot)	9:14 AM	Research-Park
653	786	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	9:20 AM	Research-Park
654	787	Page-Mill-Rd-@-El-Camino-Real	9:23 AM	Research-Park
655	788	Page-Mill-Rd-@-Hanover-St	9:25 AM	Research-Park
656	789	3170-Porter-Dr	9:28 AM	Research-Park
657	790	Hillview-Ave-@-Coyote-Hill-Rd	9:32 AM	Research-Park
658	791	1050/1070-Arastradero-Rd	9:34 AM	Research-Park
659	792	3475-Deer-Creek-Rd	9:41 AM	Research-Park
660	793	Palo-Alto-Transit-Center-(Bus-Depot)	9:37 AM	Research-Park
661	794	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	9:43 AM	Research-Park
662	795	Page-Mill-Rd-@-El-Camino-Real	9:46 AM	Research-Park
663	796	Page-Mill-Rd-@-Hanover-St	9:48 AM	Research-Park
664	797	3170-Porter-Dr	9:51 AM	Research-Park
665	798	Hillview-Ave-@-Coyote-Hill-Rd	9:55 AM	Research-Park
666	799	1050/1070-Arastradero-Rd	9:57 AM	Research-Park
667	800	3475-Deer-Creek-Rd	10:04 AM	Research-Park
668	801	Palo-Alto-Transit-Center-(Bus-Depot)	9:54 AM	Research-Park
669	802	Wells-Fargo-(El-Camino-Real-@-California-Ave) 	10:00 AM	Research-Park
670	803	Page-Mill-Rd-@-El-Camino-Real	10:03 AM	Research-Park
671	804	Page-Mill-Rd-@-Hanover-St	10:05 AM	Research-Park
672	805	3170-Porter-Dr	10:08 AM	Research-Park
673	806	Hillview-Ave-@-Coyote-Hill-Rd	10:12 AM	Research-Park
674	807	1050/1070-Arastradero-Rd	10:14 AM	Research-Park
675	808	3475-Deer-Creek-Rd	10:21 AM	Research-Park
676	809	Oak-Creek-Apartments-(Across-Street-On-Sand-Hill-Rd)	6:23 AM	S
677	810	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office)	6:25 AM	S
678	811	Palo-Alto-Transit-Center-(Bus-Depot-Drop-Off)	6:35 AM	S
679	812	Palo-Alto-Transit-Center-(Bus-Depot-Pick-Up)	6:43 AM	S
680	813	Crate-&-Barrel-(Quarry-Rd)	6:46 AM	S
681	814	Sand-Hill-Rd-@-Clark-Way	6:48 AM	S
682	815	Oak-Creek-Apartments-(Sand-Hill-Rd)	6:49 AM	S
683	816	Sharon-Park-Shopping-Center-(Sand-Hill-Rd)	6:52 AM	S
684	817	Rosewood-Hotel-(In-Parking-Lot)	6:57 AM	S
685	818	Stanford-Guest-House-(In-Parking-Lot)	7:02 AM	S
686	819	Oak-Creek-Apartments-(Across-Street-On-Sand-Hill-Rd)	7:08 AM	S
687	820	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office)	7:10 AM	S
688	821	Palo-Alto-Transit-Center-(Bus-Depot-Drop-Off)	7:20 AM	S
689	822	Palo-Alto-Transit-Center-(Bus-Depot-Pick-Up)	7:36 AM	S
690	823	Crate-&-Barrel-(Quarry-Rd)	7:39 AM	S
691	824	Sand-Hill-Rd-@-Clark-Way	7:41 AM	S
692	825	Oak-Creek-Apartments-(Sand-Hill-Rd)	7:42 AM	S
693	826	Sharon-Park-Shopping-Center-(Sand-Hill-Rd)	7:45 AM	S
694	827	Rosewood-Hotel-(In-Parking-Lot)	7:50 AM	S
695	828	Stanford-Guest-House-(In-Parking-Lot)	7:55 AM	S
696	829	Oak-Creek-Apartments-(Across-Street-On-Sand-Hill-Rd)	8:01 AM	S
697	830	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office)	8:03 AM	S
698	831	Palo-Alto-Transit-Center-(Bus-Depot-Drop-Off)	8:13 AM	S
699	832	Palo-Alto-Transit-Center-(Bus-Depot-Pick-Up)	8:26 AM	S
700	833	Crate-&-Barrel-(Quarry-Rd)	8:29 AM	S
701	834	Sand-Hill-Rd-@-Clark-Way	8:31 AM	S
702	835	Oak-Creek-Apartments-(Sand-Hill-Rd)	8:32 AM	S
703	836	Sharon-Park-Shopping-Center-(Sand-Hill-Rd)	8:35 AM	S
704	837	Rosewood-Hotel-(In-Parking-Lot)	8:40 AM	S
705	838	Stanford-Guest-House-(In-Parking-Lot)	8:45 AM	S
706	839	Oak-Creek-Apartments-(Across-Street-On-Sand-Hill-Rd)	8:51 AM	S
707	840	Stanford-West-Apartments-(Clark-Way-Across-Street-From-Office)	8:53 AM	S
708	841	Palo-Alto-Transit-Center-(Bus-Depot-Drop-Off)	9:03 AM	S
709	842	Palo-Alto-Transit-Center-(Bus-Depot-Pick-Up)	9:04 AM	S
710	843	Crate-&-Barrel-(Quarry-Rd)	9:07 AM	S
711	844	Sand-Hill-Rd-@-Clark-Way	9:09 AM	S
712	845	Oak-Creek-Apartments-(Sand-Hill-Rd)	9:10 AM	S
713	846	Sharon-Park-Shopping-Center-(Sand-Hill-Rd)	9:13 AM	S
714	847	Rosewood-Hotel-(In-Parking-Lot)	9:18 AM	S
715	848	Stanford-Guest-House-(In-Parking-Lot)	9:23 AM	S
716	849	Hoover-Pavilion-Garage-(Inside-Lot-1) 	6:30 AM	W
717	850	Stanford-Barn-(700-Welch-Rd) 	6:34 AM	W
718	851	780-Welch-Rd 	6:35 AM	W
719	852	1000-Welch-Rd 	6:36 AM	W
720	853	Hoover-Pavilion-Garage-(Inside-Lot-1) 	6:45 AM	W
721	854	Hoover-Pavilion-Garage-(Inside-Lot-1) 	6:45 AM	W
722	855	Stanford-Barn-(700-Welch-Rd) 	6:49 AM	W
723	856	780-Welch-Rd 	6:50 AM	W
724	857	1000-Welch-Rd 	6:51 AM	W
725	858	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:00 AM	W
726	859	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:00 AM	W
727	860	Stanford-Barn-(700-Welch-Rd) 	7:04 AM	W
728	861	780-Welch-Rd 	7:05 AM	W
729	862	1000-Welch-Rd 	7:06 AM	W
730	863	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:15 AM	W
731	864	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:15 AM	W
732	865	Stanford-Barn-(700-Welch-Rd) 	7:19 AM	W
733	866	780-Welch-Rd 	7:20 AM	W
734	867	1000-Welch-Rd 	7:21 AM	W
735	868	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:30 AM	W
736	869	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:30 AM	W
737	870	Stanford-Barn-(700-Welch-Rd) 	7:34 AM	W
738	871	780-Welch-Rd 	7:35 AM	W
739	872	1000-Welch-Rd 	7:36 AM	W
740	873	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:45 AM	W
741	874	Hoover-Pavilion-Garage-(Inside-Lot-1) 	7:45 AM	W
742	875	Stanford-Barn-(700-Welch-Rd) 	7:49 AM	W
743	876	780-Welch-Rd 	7:50 AM	W
744	877	1000-Welch-Rd 	7:51 AM	W
745	878	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:00 AM	W
746	879	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:00 AM	W
747	880	Stanford-Barn-(700-Welch-Rd) 	8:04 AM	W
748	881	780-Welch-Rd 	8:05 AM	W
749	882	1000-Welch-Rd 	8:06 AM	W
750	883	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:15 AM	W
751	884	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:15 AM	W
752	885	Stanford-Barn-(700-Welch-Rd) 	8:19 AM	W
753	886	780-Welch-Rd 	8:20 AM	W
754	887	1000-Welch-Rd 	8:21 AM	W
755	888	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:30 AM	W
756	889	Hoover-Pavilion-Garage-(Inside-Lot-1) 	8:30 AM	W
757	890	Stanford-Barn-(700-Welch-Rd) 	8:34 AM	W
758	891	780-Welch-Rd 	8:35 AM	W
759	892	1000-Welch-Rd 	8:36 AM	W
